image,recog_pre_disambiguation,recog_gray,recog_post_disambiguation
powder,0.263157895,0.631578947,0.894736842
power_line,0.714285714,0.928571429,1
praying_mantis,0.315789474,0.947368421,0.894736842
pretzel,0.307692308,0.846153846,0.769230769
printer,0.3,0.9,0.85
prism,0.076923077,0.846153846,0.538461538
projector,0.47826087,1,0.782608696
propeller,0.4375,0.8125,0.5625
prune,0.388888889,0.944444444,0.666666667
puck,0.461538462,0.692307692,0.923076923
pudding,0.368421053,0.736842105,0.894736842
puddle,0.260869565,0.956521739,0.739130435
puffin,0.277777778,0.944444444,0.888888889
pug,0.2,1,0.733333333
pulley,0.571428571,0.785714286,0.928571429
pulpit,0.3,0.5,0.85
pump,0.444444444,0.888888889,1
pumpkin,0.4,0.95,0.85
punch1,0.588235294,0.647058824,0.882352941
punch2,0.933333333,0.866666667,1
punching_bag,0.181818182,1,0.818181818
puppet,0.625,0.875,1
puppy,0.571428571,0.928571429,0.928571429
purse,0.714285714,1,0.80952381
quad,0.5,1,0.954545455
quesadilla,0.333333333,0.761904762,0.904761905
quiche,0.272727273,0.590909091,0.863636364
quill,0.846153846,1,0.923076923
quilt,0.277777778,0.777777778,0.944444444
rabbit,0.4,1,1
raccoon,0.28,0.88,0.8
racehorse,1,1,0.857142857
rack1,0.277777778,0.722222222,0.722222222
rack2,0.5625,1,1
racket,0.333333333,1,0.583333333
radar,0.5,0.85,0.45
radiator,0.631578947,0.894736842,0.894736842
radio,0.333333333,1,1
radish,0.615384615,0.692307692,0.692307692
raft,0.611111111,0.944444444,0.833333333
rag,0.083333333,1,0.75
railing,0.222222222,1,0.944444444
rain_gauge,0,0.611111111,0.333333333
raincoat,0.714285714,0.928571429,0.928571429
raisin,0.214285714,1,0.928571429
rake,0.772727273,0.954545455,0.954545455
ram,0.529411765,0.882352941,0.882352941
ramp,0.55,0.9,0.9
raspberry,0.833333333,0.944444444,0.944444444
rat,0.333333333,1,0.80952381
ratchet,0.263157895,0.736842105,0.736842105
rattle,0.285714286,0.785714286,0.857142857
rattlesnake,0.2,0.933333333,0.933333333
ravioli,0.1,0.4,0.2
razor,0.458333333,1,0.875
razor_blade,0.294117647,0.764705882,0.823529412
ready_meal,0.333333333,1,0.75
rearview_mirror,1,1,1
recliner,0.833333333,1,1
record,0.666666667,0.952380952,0.952380952
record_player,0.8,1,1
recorder,0.85,1,1
red_carpet,0.75,1,0.95
reel,0.409090909,0.863636364,0.772727273
refrigerator,0.526315789,0.947368421,0.947368421
reindeer,0.2,1,0.9
remote_control,0.8125,0.9375,0.9375
retainer,0.3125,0.9375,0.75
revolver,0.888888889,1,1
revolving_door,0.333333333,0.888888889,0.944444444
rhinoceros,0.058823529,0.941176471,0.647058824
rhubarb,0.263157895,0.947368421,0.789473684
ribbon,0.272727273,0.818181818,1
rice,0.3125,1,0.9375
rickshaw,0.578947368,0.947368421,1
rifle,0.307692308,1,0.923076923
rim,1,0.916666667,1
ring,0.277777778,1,0.722222222
riser,0.777777778,0.944444444,0.888888889
road_sign,0.133333333,0.933333333,0.666666667
roadsweeper,0.785714286,0.928571429,0.928571429
robe,0,1,0.769230769
robot,0.347826087,0.956521739,1
rock,0.125,0.916666667,1
rocket,0.176470588,0.941176471,0.941176471
rocking_chair,0.941176471,1,1
rocking_horse,0.764705882,1,1
roll,0.347826087,0.782608696,0.869565217
roller,0.2,0.466666667,0.8
roller_coaster,0.434782609,0.956521739,0.826086957
rollerblade,0.411764706,1,0.882352941
rollerskate,0.92,0.96,1
rolling_pin,0.761904762,0.904761905,1
roof_rack,0.1875,0.8125,0.875
rooster,0.894736842,1,1
root,0.588235294,1,1
rope,0.55,0.95,0.9
rosary,0.227272727,1,0.909090909
rose,0.611111111,1,1
roulette_wheel,0.5625,0.9375,0.9375
router,0.066666667,0.933333333,0.666666667
rubber_band,0.285714286,0.952380952,0.952380952
ruby,0.125,0.5,0.583333333
rudder,0.15,0.55,0.9
rug,0.2,1,0.866666667
ruler,0.117647059,1,0.705882353
rust,0.25,0.4,0.5
saddle,0.368421053,1,0.894736842
safety_pin,0.875,0.9375,1
saffron,0.75,0.625,0.8125
sail,0.142857143,0.785714286,0.714285714
sailboat,0.875,0.9375,0.9375
salad,0.19047619,0.857142857,0.80952381
salami,0.538461538,1,0.692307692
saltshaker,0.578947368,1,1
sand,0.5,0.9,0.9
sandal,0.2,1,1
sandbag,0.275862069,0.896551724,0.655172414
sandbox,0.095238095,0.904761905,0.904761905
sandcastle,0.555555556,0.944444444,1
sandpaper,0.105263158,0.789473684,0.789473684
sandwich,0.117647059,1,0.470588235
sarcophagus,0.789473684,1,1
sardine,0.263157895,0.894736842,0.842105263
satellite,0.24,0.56,0.8
satellite_dish,0.1875,1,0.6875
sauce,0.722222222,0.833333333,0.888888889
saucer,0.818181818,1,1
sauerkraut,0.235294118,0.882352941,0.823529412
sausage,0.117647059,1,0.941176471
saw,0.294117647,0.941176471,0.941176471
sawhorse,0.238095238,0.523809524,0.80952381
saxophone,0.75,0.95,0.85
scaffold,0.882352941,1,1
scaffolding,0.15,0.95,0.9
scale,0.529411765,1,0.764705882
scallion,0.166666667,1,1
scallop,0.055555556,0.777777778,0.611111111
scalpel,0.333333333,0.777777778,0.944444444
scanner,0.684210526,0.842105263,0.947368421
scarecrow,0.352941176,1,0.941176471
scarf,0.2,1,0.866666667
school_bus,0.733333333,1,0.933333333
scissors,0.15,0.95,0.45
scone,0.470588235,0.647058824,1
scoop,0.416666667,0.75,0.75
scooter,0.333333333,1,0.888888889
scoreboard,0.3125,0.875,0.625
scorpion,1,1,1
scrabble,0,0.785714286,0.428571429
scrambled_egg,0.071428571,0.642857143,0.642857143
scraper,0.2,0.6,0.333333333
screen1,0.222222222,1,0.944444444
screen2,0.181818182,0.636363636,0.727272727
screw,0.95,1,1
screwdriver,0.764705882,0.941176471,1
scuba,0.222222222,0.444444444,0.833333333
sea_urchin,0.5,0.625,0.8125
seafood,0,0.863636364,0.5
seagull,0.933333333,1,0.933333333
seahorse,0.380952381,0.952380952,0.904761905
seal,0.214285714,1,1
seaplane,0.5,1,0.714285714
seatbelt,0.117647059,0.941176471,0.705882353
seaweed,0.25,0.65,0.65
seed,0.105263158,0.947368421,0.578947368
seesaw,0.647058824,1,0.941176471
seismograph,0.315789474,0.210526316,0.631578947
sequin,0,0.777777778,0.444444444
sewage,0.666666667,0.619047619,1
sewing_kit,0.473684211,0.894736842,1
sewing_machine,0.705882353,0.941176471,0.941176471
shaker,0.375,0.8125,0.9375
shark,0.733333333,1,1
shaving_cream,0.0625,0.8125,0.8125
shawl,0.136363636,0.454545455,0.818181818
shears,0.125,0.875,0.875
sheath,0.588235294,0.941176471,0.882352941
sheep,0.4375,0.9375,0.8125
sheet,0.25,1,0.9375
shelf,0.6,1,0.866666667
shell1,0.052631579,0.947368421,0.684210526
shell2,0.583333333,1,1
shell3,0.4375,0.75,0.9375
shield,0.541666667,1,1
ship,0.588235294,1,1
shirt,0.875,0.9375,0.9375
shoe,0.941176471,1,1
shoe_polish,0.142857143,0.857142857,0.928571429
shoehorn,0.25,0.5,0.6875
shoelace,0.238095238,0.952380952,0.904761905
shopping_basket,0.35,1,0.9
shopping_cart,0.272727273,0.909090909,0.363636364
shortbread,0.0625,0.8125,0.8125
shorts,1,1,1
shoulder,0.176470588,0.941176471,0.882352941
shovel,0.4375,1,0.9375
shower,0.444444444,1,0.888888889
shower_cap,0.25,1,0.75
shower_curtain,0.4,1,0.9
showerhead,0.941176471,1,0.882352941
shredder,0.3125,0.6875,0.6875
shrimp,0.357142857,0.857142857,0.857142857
shuffleboard,0.090909091,0.227272727,0.636363636
shutter,0.181818182,0.909090909,0.818181818
sickle,0.4,0.666666667,0.8
sidecar,0.0625,0.75,0.9375
sifter,0.916666667,1,0.916666667
silicone,0.19047619,0.666666667,0.857142857
silverware,0.88,0.92,0.96
sim_card,0.285714286,0.857142857,0.904761905
sink,0.894736842,1,1
siren,0.3,0.9,0.8
skateboard,0.269230769,1,0.884615385
skeleton,1,1,1
skewer,0.6,0.8,0.866666667
ski,0.260869565,0.913043478,0.913043478
ski_boots,0.4,0.933333333,0.933333333
ski_lift,0.6,0.9,0.9
ski_pole,0.777777778,0.888888889,0.944444444
skin,0.076923077,0.692307692,0.769230769
skirt,0.571428571,1,1
skull,1,1,0.944444444
skunk,0.55,1,0.95
sled,0.153846154,1,1
sledgehammer,0.739130435,0.956521739,0.913043478
sleeping_bag,0.48,0.96,1
slicer,0.315789474,0.368421053,0.789473684
slide,1,1,1
slime,0.071428571,0.428571429,0.714285714
sling,0.058823529,0.764705882,0.823529412
slingshot,0.473684211,1,1
slipper,0.928571429,1,1
slot,0.647058824,1,0.941176471
slot_machine,0.8,0.933333333,1
sloth,0.294117647,0.941176471,0.588235294
slug,0.666666667,1,0.866666667
smoke_alarm,0.470588235,1,0.882352941
smoothie,0.875,1,0.9375
snack,0.333333333,0.944444444,1
snail,0.105263158,1,0.789473684
snake,0.384615385,0.961538462,0.653846154
snorkel,0.133333333,0.866666667,0.8
snow,0.0625,0.9375,0.875
snowball,0.105263158,0.894736842,0.578947368
snowboard,0.333333333,1,0.866666667
snowman,0.95,1,1
snowmobile,0.764705882,1,1
snowplow,0.181818182,1,0.5
snowshoe,0.1875,0.75,0.8125
snowsuit,0.384615385,0.692307692,0.846153846
soap,0.1,1,0.55
soccer_ball,0.6,1,0.95
sock,1,1,1
soda,0.571428571,1,1
soda_fountain,0.294117647,0.941176471,0.941176471
sofa_bed,0.357142857,1,0.785714286
solar_panel,0.611111111,1,1
soldering_iron,0.611111111,0.666666667,0.833333333
sombrero,0.681818182,0.681818182,0.909090909
sonogram,0.777777778,1,0.888888889
sorbet,0.055555556,0.833333333,0.888888889
souffle,0.545454545,0.909090909,0.818181818
soup,0.75,1,0.95
soy_sauce,0.4375,0.875,1
space_shuttle,0.333333333,1,0.666666667
spacesuit,0.5,0.8,1
spaghetti,0.555555556,1,0.888888889
spam,0.5,0.5,0.875
spareribs,0.2,0.95,0.9
spark_plug,0.352941176,0.705882353,0.588235294
sparkler,0.608695652,0.956521739,0.956521739
spatula,0.727272727,0.818181818,0.818181818
speaker,0.461538462,0.923076923,0.923076923
spear,0.523809524,0.80952381,0.952380952
speedboat,0.333333333,0.916666667,0.958333333
speedometer,0.357142857,1,0.857142857
spider,1,1,1
spider_web,0.933333333,1,1
spinach,0.277777778,0.888888889,0.888888889
splinter,0.055555556,0.944444444,0.388888889
sponge,0.733333333,0.933333333,0.866666667
spool,0.526315789,0.947368421,0.894736842
spoon,0.363636364,1,0.818181818
spout,0.2,0.933333333,0.933333333
spring_roll,0.166666667,1,0.833333333
springboard,0.157894737,0.578947368,0.526315789
sprinkler,0.4,1,0.933333333
sprouts,0.388888889,0.666666667,0.888888889
spur,0.052631579,0.842105263,0.789473684
squash,0.222222222,0.777777778,0.555555556
squeegee,0.583333333,0.75,0.916666667
squid,0.5,0.611111111,0.888888889
squirrel,0.857142857,0.928571429,0.928571429
squirt_gun,0.777777778,0.944444444,1
stained_glass,0.736842105,1,1
stair,0.333333333,1,1
stake,0.315789474,0.842105263,0.842105263
stalagmite,0.05,0.7,0.85
stamp1,0.8,1,1
stamp2,0.428571429,0.642857143,1
staple,0.166666667,0.944444444,0.5
staple_gun,0.117647059,0.941176471,0.823529412
stapler,0.529411765,1,0.941176471
star_fruit,0,0.5,0.333333333
starfish,1,1,0.909090909
station_wagon,1,1,0.882352941
statue,0.052631579,0.842105263,0.736842105
steak,0.105263158,0.947368421,0.842105263
steamroller,0.571428571,0.928571429,1
steering_wheel,0.764705882,0.941176471,0.941176471
stem,0.076923077,0.769230769,0.692307692
step_stool,0.25,0.916666667,1
stereo,0.909090909,1,1
stethoscope,0.380952381,1,0.904761905
stew,0.541666667,0.916666667,0.916666667
stick,0.266666667,1,0.866666667
sticker,0.277777778,0.722222222,0.833333333
stiletto,0.631578947,1,0.894736842
stilt,0.130434783,0.608695652,0.913043478
stingray,0.058823529,0.941176471,0.764705882
stir_fry,0.75,0.875,0.9375
stirrup,0.166666667,0.888888889,0.833333333
stockings,1,1,1
stomach,0.380952381,1,1
stool,0.5,0.958333333,0.875
stopwatch,0.1,0.95,0.65
stove1,0.625,1,0.9375
stove2,0.434782609,0.956521739,0.956521739
straightjacket,0.25,0.833333333,0.833333333
strainer,0.35,0.9,0.65
strap,0.466666667,0.533333333,0.733333333
straw1,0.380952381,0.80952381,1
straw2,0.391304348,1,0.956521739
strawberry,0.333333333,1,1
streetlight,0.588235294,0.941176471,0.823529412
stretcher,0.428571429,0.857142857,0.714285714
string_cheese,0.352941176,0.470588235,0.647058824
stroller,0.857142857,1,1
stuffing,0.217391304,0.47826087,0.565217391
stump,0.590909091,1,1
submarine,0.458333333,0.958333333,0.958333333
subway,0.714285714,1,1
sugar_cube,0.125,0.9375,0.8125
suit,0.95,1,1
suitcase,0.111111111,1,0.777777778
sundae,0.3125,0.875,0.9375
sundial,0.85,0.95,0.9
sunflower,0.789473684,0.947368421,0.947368421
sunglasses,1,0.941176471,1
sunroof,0.333333333,0.866666667,0.8
surfboard,0.235294118,0.941176471,0.882352941
sushi,0.25,1,0.9375
suspenders,0.666666667,1,0.916666667
swab,0.375,1,0.8125
swan,0.866666667,0.933333333,0.866666667
sweater,0.75,1,1
sweatsuit,0.941176471,1,1
sweeper,0.5,0.5625,0.6875
sweet_potato,0.357142857,1,0.928571429
swimming_pool,0.529411765,0.941176471,0.941176471
swimsuit,0.166666667,1,0.583333333
swing,0.764705882,0.882352941,1
swing_set,0.333333333,0.944444444,0.722222222
switch,0.75862069,1,0.965517241
swizzle_stick,0.777777778,0.444444444,0.833333333
sword,0.4,1,1
swordfish,0.368421053,0.947368421,0.842105263
syringe,0.75,1,0.9375
syrup,0.444444444,0.962962963,0.851851852
t-shirt,0.529411765,1,0.882352941
tab,0.066666667,1,0.866666667
table,0.923076923,1,1
tablecloth,0.117647059,1,0.294117647
tablet,0.529411765,0.941176471,0.941176471
tack,0.277777778,0.888888889,0.888888889
tackle,0.666666667,0.866666667,1
taco,0.222222222,0.944444444,0.722222222
tadpole,0.083333333,0.916666667,0.916666667
taffy,0.052631579,0.947368421,0.578947368
tag,0.052631579,1,0.421052632
taillight,0.352941176,0.941176471,0.941176471
tamale,0.166666667,0.166666667,0.666666667
tambourine,0.947368421,0.947368421,1
tank1,0.8,0.866666667,1
tank2,0.565217391,0.608695652,0.782608696
tape,0.666666667,1,1
tape_measure,0.2,1,0.45
tape_recorder,0.444444444,0.888888889,1
tapestry,0.266666667,0.733333333,0.666666667
tarantula,0.866666667,1,1
target,0.45,1,0.75
tarp,0.1,0.5,0.55
tattoo,0.210526316,0.947368421,0.894736842
taxi,0.916666667,1,1
tea,0.944444444,0.888888889,1
teabag,0.555555556,0.944444444,0.944444444
teacup,0.588235294,1,0.882352941
teapot,0.368421053,1,0.842105263
teddy_bear,0.944444444,1,1
tee,0.793103448,0.793103448,0.965517241
teepee,0.791666667,0.958333333,0.958333333
telegraph,0.176470588,0.352941176,0.529411765
telephone_pole,0.470588235,1,0.882352941
telescope,0.923076923,0.961538462,1
television,0.666666667,0.933333333,0.866666667
tennis_ball,0.466666667,1,0.866666667
tent,0.8,1,0.933333333
terrarium,0.785714286,0.857142857,1
test_tube,0.0625,0.875,0.3125
thermometer,0.133333333,1,0.666666667
thermos,0.352941176,0.941176471,0.882352941
thermostat,0.470588235,1,0.764705882
thimble,0.739130435,0.869565217,0.826086957
thorn,0.222222222,1,0.5
thread,0.461538462,1,0.923076923
throne,0.8,0.933333333,0.933333333
thumb,0.8,1,0.9
thumbtack,0.5,1,0.928571429
tiara,0.733333333,0.866666667,1
tick,0.789473684,1,0.842105263
ticktacktoe,0.222222222,0.888888889,0.722222222
tie,0.2,1,0.733333333
tiger,1,1,1
tile,0.807692308,0.923076923,1
timer,0.695652174,1,0.956521739
tinsel,0.5,1,1
tiramisu,0.4375,0.9375,0.875
toad,0.842105263,0.947368421,1
toast,0.5625,1,1
toaster,0.75,0.95,0.95
toaster_oven,0.333333333,0.888888889,0.888888889
toe,0.473684211,0.894736842,0.947368421
toga,0.117647059,0.882352941,0.470588235
toilet,0.352941176,1,0.764705882
toilet_paper,0.235294118,1,0.882352941
tomato,0.357142857,0.928571429,0.928571429
tomato_sauce,0.352941176,0.647058824,0.470588235
tongs,0.285714286,1,0.857142857
tongue,0.066666667,0.933333333,0.4
tool,0.416666667,0.916666667,0.916666667
toolbox,0.277777778,0.944444444,0.944444444
tooth,0.423076923,0.961538462,0.923076923
toothbrush,1,0.952380952,1
toothpaste,0.066666667,0.866666667,0.733333333
toothpick,0.736842105,0.842105263,0.842105263
top_hat,0.923076923,0.923076923,1
torch,0.05,0.75,0.3
torpedo,0.588235294,0.941176471,0.941176471
torso,0.933333333,1,0.933333333
tortellini,0.352941176,0.529411765,0.882352941
tortilla,0.315789474,0.842105263,0.947368421
tostada,0.5,0.8,0.9
totem_pole,0.555555556,0.944444444,1
toucan,0.583333333,1,0.75
touchpad,0.64,0.92,0.96
towel,0.192307692,1,0.769230769
towel_rack,0.761904762,1,1
toy,0.461538462,1,1
tractor,1,1,1
traffic_light,0.666666667,1,1
trailer,1,1,1
train,0.571428571,0.928571429,1
train_car,0.666666667,0.916666667,1
train_set,0.263157895,0.842105263,1
trampoline,0.842105263,1,0.894736842
trap,0.333333333,0.444444444,0.777777778
trapdoor,0.142857143,0.571428571,0.666666667
trashcan,0.857142857,1,1
tray,0.285714286,0.857142857,1
treadmill,0.9375,1,1
treasure,0.19047619,0.952380952,0.714285714
tree,0.933333333,1,1
tree_trunk,0.875,1,1
triangle,0.266666667,0.933333333,0.933333333
tricycle,0.928571429,1,1
trident,0.230769231,0.923076923,0.923076923
trigger,0.5,1,1
tripod,0.818181818,0.954545455,1
trolley,0.631578947,1,0.947368421
trombone,0.384615385,1,1
trophy,0.368421053,1,0.894736842
trough,0.352941176,0.647058824,0.823529412
trowel,0.285714286,0.857142857,0.5
truck,0.8,0.95,1
trumpet,0.6,1,1
trunk,0.35,1,0.85
tuba,0.588235294,0.882352941,1
tube_top,0,0.95,0.6
tugboat,0.692307692,0.923076923,0.846153846
tulip,0.615384615,0.923076923,1
tumbleweed,0.052631579,0.894736842,0.631578947
tuning_fork,0.533333333,0.8,0.866666667
tupperware,0.133333333,1,1
turban,0.133333333,0.933333333,0.8
turbine,0.684210526,0.894736842,0.947368421
turf,0.785714286,0.928571429,0.928571429
turkey,0.173913043,0.913043478,0.956521739
turnstile,0.333333333,0.733333333,0.733333333
turntable,0.117647059,0.588235294,0.764705882
turtle,0.533333333,1,0.933333333
turtleneck,0.2,1,0.466666667
tuxedo,0.45,1,0.9
tweezers,0.8,1,0.95
twig,0,1,0.625
typewriter,0.789473684,1,1
ukulele,0.333333333,1,0.777777778
umbrella,0.105263158,1,0.684210526
undershirt,0.166666667,0.888888889,0.888888889
underwear,0.24,1,0.56
unicycle,1,1,1
uniform,0.769230769,0.923076923,0.846153846
urinal,0.631578947,1,0.789473684
urn,0.7,1,1
vacuum,0.434782609,0.956521739,0.695652174
valve,0.133333333,0.466666667,0.733333333
van,0.8,0.9,1
vase,0.428571429,0.857142857,0.857142857
vegetable,0.142857143,0.857142857,0.857142857
veil,0.380952381,0.952380952,0.952380952
velcro,0.2,1,1
vending_machine,0.9375,0.9375,1
vent,0.277777778,0.944444444,0.944444444
vest,0.136363636,0.909090909,0.681818182
vial,0.5,0.8,0.8
videocassette,0.705882353,0.941176471,0.882352941
videogame,0.5,0.8125,0.75
viewfinder,0.210526316,0.842105263,0.789473684
violin,0.857142857,1,1
vise,0.1875,0.75,0.5625
visor,0.142857143,1,0.857142857
volleyball,0.125,0.9375,0.6875
vulture,0.80952381,0.904761905,0.952380952
wafer,0.142857143,0.714285714,0.857142857
waffle,0.384615385,0.961538462,0.730769231
waffle_iron,0.4375,0.8125,0.75
wagon,0.882352941,0.941176471,1
walker1,0.166666667,0.777777778,0.722222222
walker2,0.263157895,0.947368421,0.842105263
wall,0.545454545,0.772727273,0.863636364
wallet,0.357142857,1,0.857142857
wallpaper,0.428571429,0.928571429,0.928571429
walnut,0.235294118,0.764705882,0.823529412
walrus,0.277777778,1,0.666666667
wand,0.5625,0.8125,0.9375
warthog,0.666666667,1,1
washboard,0.25,0.5,0.75
washcloth,0.235294118,1,0.588235294
washing_machine,0.785714286,1,0.928571429
wasp,0.565217391,1,0.913043478
watch,0.730769231,0.961538462,1
water_bottle,0.428571429,0.952380952,0.904761905
water_cooler,0.208333333,0.916666667,0.75
water_filter,0.1,0.4,0.5
water_fountain,0.1875,0.9375,0.9375
water_heater,0.473684211,0.842105263,0.947368421
watering_can,0.35,1,1
watermelon,0,1,0.722222222
waterwheel,0.2,0.95,0.85
wax,0.117647059,0.588235294,0.647058824
wax_paper,0.1,0.45,0.4
weasel,0.166666667,0.75,0.583333333
weather_vane,0.105263158,0.947368421,0.736842105
webcam,0.25,0.916666667,0.75
wedding_cake,0.133333333,1,0.6
wedge,0.842105263,0.842105263,0.789473684
weed,0.294117647,0.941176471,0.529411765
wetsuit,0.176470588,1,0.470588235
whale,0.571428571,0.857142857,1
wheat,0.157894737,1,0.736842105
wheel,0.736842105,0.947368421,0.947368421
wheelbarrow,0.857142857,1,0.857142857
wheelchair,0.947368421,1,1
whip,0.111111111,0.944444444,0.722222222
whipped_cream,0.1,0.9,0.8
whisk,0.611111111,1,1
whistle,0.391304348,0.956521739,0.869565217
whiteboard,0.368421053,1,0.789473684
whoopee_cushion,0.777777778,0.888888889,1
wick,0.058823529,1,0.647058824
wig,0.5,1,0.875
wind_chimes,0.363636364,0.818181818,0.727272727
window,0.9,1,1
windowsill,0.222222222,0.944444444,0.944444444
windshield,0,0.9375,0.6875
windshield_wiper,0.55,1,1
windsock,0.157894737,0.894736842,0.789473684
wine,0.428571429,1,0.928571429
wine_bottle,0.944444444,1,1
wine_cooler,0.7,0.9,0.95
wineglass,1,1,0.923076923
wing,0.1,1,0.7
wire,0.333333333,0.761904762,0.952380952
wire_cutters,0.294117647,1,0.823529412
wok,0.8,0.8,0.866666667
wolf,0.727272727,1,0.954545455
woman,1,1,1
wood,0.416666667,1,1
wooden_leg,0.066666667,0.933333333,0.933333333
workbench,0.545454545,0.863636364,0.954545455
worm,0.545454545,1,0.909090909
wrap,0.176470588,0.941176471,0.882352941
wrapping_paper,0.117647059,0.882352941,0.235294118
wreath,0.777777778,1,0.944444444
wreck,0.5,0.857142857,0.714285714
wrench,0.24,0.96,0.68
wrist,0.133333333,0.733333333,0.866666667
xylophone,0.235294118,1,0.647058824
yacht,0.857142857,1,1
yak,0.375,0.875,0.8125
yarn,0.166666667,0.833333333,0.833333333
yo-yo,0.3125,1,0.875
yogurt,0.666666667,0.866666667,0.933333333
yoke,0.409090909,0.181818182,0.5
yolk,0.214285714,0.928571429,0.571428571
zebra,0.947368421,1,1
zipper,0.388888889,0.944444444,0.833333333
zucchini,0.1,0.95,0.8